Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
Petronas Education Sponsorship Programme ,UG,20,Chinese,"RM94,294",Engineering,9,N/A,0,N/A,N/A,N/A,81,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Indian,"RM129,246",Sciences,12,N/A,4,N/A,N/A,N/A,56,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,22,Other,"RM23,756",Computer Science and IT,11,N/A,1,N/A,N/A,N/A,66,Not Eligible,Rejected
JPA Scholarship,PG,33,Indian,"RM65,382",Medicine and Health Care,7,N/A,N/A,N/A,N/A,3.99,77,Eligible,Accepted
MARA Scholarship,PG,44,Bumiputera Sabah / Sarawak,"RM89,330",Engineering,12,N/A,N/A,N/A,N/A,3.21,77,Not Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM46,890",Business and Finance,11,N/A,N/A,3.85,N/A,N/A,64,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,28,Chinese,"RM53,053",Sciences,6,N/A,N/A,N/A,3.64,N/A,64,Not Eligible,Rejected
MARA Scholarship,UG,30,Bumiputera Sabah / Sarawak,"RM94,386",Law and Social Sciences,10,N/A,N/A,N/A,2.83,N/A,67,Eligible,Rejected
MARA Scholarship,PG,44,Bumiputera Sabah / Sarawak,"RM95,447",Law and Social Sciences,6,N/A,N/A,N/A,N/A,3.42,62,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Indian,"RM24,963",Law and Social Sciences,11,3.7,N/A,N/A,N/A,N/A,82,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Chinese,"RM62,211",Law and Social Sciences,2,N/A,5,N/A,N/A,N/A,90,Not Eligible,Rejected
MARA Scholarship,PG,32,Malay,"RM133,639",Business and Finance,10,N/A,N/A,N/A,N/A,3.87,64,Eligible,Accepted
Gamuda Scholarship,UG,18,Malay,"RM37,990",Business and Finance,9,N/A,N/A,N/A,3.07,N/A,40,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Indian,"RM73,990",Engineering,9,N/A,4,N/A,N/A,N/A,76,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,24,Other,"RM177,957",Sciences,7,N/A,N/A,N/A,N/A,3.51,59,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM2,202",Computer Science and IT,9,N/A,N/A,N/A,3.67,N/A,61,Eligible,Accepted
MARA Scholarship,PG,30,Malay,"RM287,377",Engineering,5,N/A,N/A,N/A,N/A,3.86,52,Not Eligible,Rejected
JPA Scholarship,UG,19,Other,"RM7,607",Business and Finance,9,N/A,4,N/A,N/A,N/A,45,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Other,"RM13,564",Business and Finance,4,N/A,N/A,3.95,N/A,N/A,73,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM30,007",Medicine and Health Care,12,N/A,N/A,3.63,N/A,N/A,68,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Other,"RM33,198",Law and Social Sciences,9,N/A,0,N/A,N/A,N/A,54,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM40,320",Sciences,12,3.96,N/A,N/A,N/A,N/A,57,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,30,Bumiputera Sabah / Sarawak,"RM82,870",Law and Social Sciences,10,N/A,N/A,3.73,N/A,N/A,83,Not Eligible,Rejected
MARA Scholarship,UG,36,Malay,"RM74,187",Medicine and Health Care,9,N/A,N/A,2.88,N/A,N/A,76,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Bumiputera Sabah / Sarawak,"RM28,738",Law and Social Sciences,5,N/A,N/A,N/A,N/A,2.08,61,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM50,971",Computer Science and IT,10,N/A,N/A,3.01,N/A,N/A,75,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,41,Malay,"RM68,251",Sciences,7,N/A,N/A,N/A,N/A,3.56,66,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM47,944",Sciences,11,N/A,N/A,N/A,3.82,N/A,7,Eligible,Rejected
JPA Scholarship,PG,44,Other,"RM11,863",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.88,67,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Other,"RM19,075",Computer Science and IT,10,N/A,4,N/A,N/A,N/A,90,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,26,Indian,"RM121,025",Sciences,8,3.89,N/A,N/A,N/A,N/A,67,Not Eligible,Rejected
MARA Scholarship,PG,30,Bumiputera Sabah / Sarawak,"RM178,558",Engineering,6,N/A,N/A,N/A,N/A,3.31,46,Eligible,Accepted
MARA Scholarship,PG,41,Bumiputera Sabah / Sarawak,"RM198,043",Computer Science and IT,5,N/A,N/A,N/A,N/A,3.71,78,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM22,752",Sciences,7,N/A,4,N/A,N/A,N/A,62,Eligible,Accepted
Gamuda Scholarship,UG,19,Indian,"RM23,452",Computer Science and IT,12,N/A,0,N/A,N/A,N/A,69,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Other,"RM3,190",Computer Science and IT,11,N/A,N/A,3.71,N/A,N/A,50,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,27,Other,"RM69,029",Engineering,9,N/A,N/A,N/A,N/A,2.91,91,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,36,Bumiputera Sabah / Sarawak,"RM31,010",Sciences,11,N/A,N/A,N/A,N/A,3.89,66,Eligible,Rejected
MARA Scholarship,PG,29,Indian,"RM42,953",Business and Finance,6,N/A,N/A,N/A,N/A,3.87,65,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM11,342",Engineering,10,N/A,N/A,3.85,N/A,N/A,46,Eligible,Accepted
Gamuda Scholarship,UG,19,Indian,"RM144,159",Business and Finance,12,2.87,N/A,N/A,N/A,N/A,53,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Bumiputera Sabah / Sarawak,"RM30,572",Law and Social Sciences,12,N/A,4,N/A,N/A,N/A,73,Eligible,Accepted
MARA Scholarship,UG,22,Bumiputera Sabah / Sarawak,"RM156,658",Engineering,12,N/A,N/A,N/A,2.55,N/A,54,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,25,Other,"RM47,751",Computer Science and IT,11,N/A,N/A,N/A,3.3,N/A,64,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,29,Indian,"RM116,496",Law and Social Sciences,10,N/A,N/A,N/A,3.33,N/A,82,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Other,"RM36,781",Computer Science and IT,8,N/A,5,N/A,N/A,N/A,44,Eligible,Rejected
Gamuda Scholarship,UG,19,Chinese,"RM123,000",Sciences,6,N/A,0,N/A,N/A,N/A,59,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,25,Chinese,"RM110,465",Sciences,5,3.99,N/A,N/A,N/A,N/A,51,Eligible,Accepted
Gamuda Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM46,390",Sciences,10,N/A,N/A,3.42,N/A,N/A,90,Not Eligible,Rejected
JPA Scholarship,PG,25,Chinese,"RM156,290",Sciences,8,N/A,N/A,N/A,N/A,3.74,74,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM21,362",Engineering,2,N/A,N/A,3.26,N/A,N/A,62,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,28,Bumiputera Sabah / Sarawak,"RM58,953",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.75,56,Eligible,Accepted
JPA Scholarship,UG,18,Chinese,"RM86,053",Law and Social Sciences,12,N/A,N/A,3.89,N/A,N/A,52,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM13,787",Business and Finance,10,N/A,N/A,3.78,N/A,N/A,66,Eligible,Accepted
MARA Scholarship,PG,36,Indian,"RM69,093",Computer Science and IT,6,N/A,N/A,N/A,N/A,3.73,97,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM18,474",Business and Finance,11,N/A,N/A,N/A,3.57,N/A,72,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,26,Bumiputera Sabah / Sarawak,"RM29,856",Sciences,10,N/A,N/A,3.9,N/A,N/A,54,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM19,280",Sciences,7,3.71,N/A,N/A,N/A,N/A,62,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,39,Bumiputera Sabah / Sarawak,"RM34,181",Sciences,5,N/A,N/A,N/A,N/A,2.39,61,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Bumiputera Sabah / Sarawak,"RM29,939",Law and Social Sciences,11,N/A,5,N/A,N/A,N/A,75,Eligible,Accepted
Shell Malaysia Scholarship,UG,24,Chinese,"RM23,517",Sciences,8,N/A,N/A,3.69,N/A,N/A,47,Not Eligible,Rejected
JPA Scholarship,PG,33,Chinese,"RM13,168",Sciences,10,N/A,N/A,N/A,N/A,3.89,73,Eligible,Accepted
JPA Scholarship,UG,20,Chinese,"RM33,428",Law and Social Sciences,12,N/A,4,N/A,N/A,N/A,67,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM22,082",Engineering,8,N/A,N/A,3.26,N/A,N/A,58,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,35,Indian,"RM93,263",Business and Finance,12,N/A,N/A,N/A,N/A,3.24,49,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM40,137",Sciences,9,N/A,N/A,3.53,N/A,N/A,49,Eligible,Accepted
MARA Scholarship,UG,38,Chinese,"RM202,322",Medicine and Health Care,8,N/A,N/A,3.18,N/A,N/A,53,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM67,715",Medicine and Health Care,11,N/A,N/A,N/A,3.87,N/A,84,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Indian,"RM99,674",Law and Social Sciences,12,N/A,N/A,2.29,N/A,N/A,57,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM46,110",Computer Science and IT,11,3.84,N/A,N/A,N/A,N/A,65,Eligible,Accepted
MARA Scholarship,UG,26,Malay,"RM222,347",Law and Social Sciences,11,2.3,N/A,N/A,N/A,N/A,93,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM52,911",Business and Finance,12,N/A,N/A,3.36,N/A,N/A,92,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM104,963",Computer Science and IT,0,N/A,3,N/A,N/A,N/A,62,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM42,584",Business and Finance,10,N/A,N/A,3.95,N/A,N/A,70,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Other,"RM18,090",Sciences,10,N/A,1,N/A,N/A,N/A,68,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Other,"RM55,238",Computer Science and IT,12,N/A,N/A,3.71,N/A,N/A,48,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Chinese,"RM50,655",Engineering,8,N/A,1,N/A,N/A,N/A,67,Not Eligible,Rejected
MARA Scholarship,UG,32,Bumiputera Sabah / Sarawak,"RM199,113",Business and Finance,7,N/A,N/A,N/A,3.74,N/A,49,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,42,Other,"RM104,337",Engineering,8,N/A,N/A,N/A,N/A,3.91,91,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Chinese,"RM87,606",Engineering,10,N/A,N/A,N/A,3.37,N/A,90,Eligible,Accepted
JPA Scholarship,PG,33,Other,"RM43,221",Engineering,6,N/A,N/A,N/A,N/A,3.53,80,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,32,Indian,"RM84,602",Sciences,6,N/A,N/A,N/A,N/A,3.76,75,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,30,Bumiputera Sabah / Sarawak,"RM52,435",Law and Social Sciences,9,N/A,4,N/A,N/A,N/A,43,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Malay,"RM123,601",Business and Finance,11,3.45,N/A,N/A,N/A,N/A,64,Eligible,Accepted
Gamuda Scholarship,UG,23,Bumiputera Sabah / Sarawak,"RM80,644",Computer Science and IT,10,N/A,N/A,N/A,3.75,N/A,61,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM105,181",Engineering,12,N/A,N/A,3.97,N/A,N/A,60,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Other,"RM39,404",Computer Science and IT,6,3.88,N/A,N/A,N/A,N/A,58,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM15,639",Medicine and Health Care,10,N/A,N/A,N/A,3.66,N/A,56,Eligible,Rejected
MARA Scholarship,UG,39,Malay,"RM203,758",Engineering,5,N/A,N/A,N/A,2.2,N/A,63,Not Eligible,Rejected
MARA Scholarship,UG,36,Bumiputera Sabah / Sarawak,"RM186,311",Engineering,11,N/A,N/A,3.95,N/A,N/A,74,Eligible,Accepted
JPA Scholarship,UG,19,Other,"RM49,493",Business and Finance,10,N/A,N/A,N/A,2.54,N/A,69,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM10,936",Sciences,9,N/A,N/A,3.84,N/A,N/A,50,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,40,Malay,"RM28,965",Medicine and Health Care,6,N/A,N/A,N/A,N/A,3.32,55,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other,"RM94,897",Engineering,12,N/A,5,N/A,N/A,N/A,54,Eligible,Rejected
MARA Scholarship,UG,43,Bumiputera Sabah / Sarawak,"RM48,841",Computer Science and IT,11,N/A,N/A,3.25,N/A,N/A,57,Not Eligible,Rejected
MARA Scholarship,UG,35,Bumiputera Sabah / Sarawak,"RM116,209",Computer Science and IT,11,N/A,N/A,3.15,N/A,N/A,34,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,31,Chinese,"RM44,012",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.12,32,Not Eligible,Rejected
MARA Scholarship,UG,30,Bumiputera Sabah / Sarawak,"RM218,061",Business and Finance,12,N/A,N/A,3.84,N/A,N/A,35,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM61,619",Engineering,11,N/A,1,N/A,N/A,N/A,68,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,22,Other,"RM20,517",Law and Social Sciences,8,N/A,N/A,N/A,3.94,N/A,57,Eligible,Accepted
Shell Malaysia Scholarship,UG,23,Malay,"RM53,501",Engineering,10,N/A,N/A,3.22,N/A,N/A,60,Not Eligible,Rejected
JPA Scholarship,PG,29,Bumiputera Sabah / Sarawak,"RM20,026",Sciences,8,N/A,N/A,N/A,N/A,3.98,61,Eligible,Rejected
MARA Scholarship,UG,26,Chinese,"RM121,326",Business and Finance,6,N/A,N/A,N/A,3.26,N/A,74,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM30,765",Sciences,8,3.97,N/A,N/A,N/A,N/A,71,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,39,Malay,"RM52,269",Law and Social Sciences,9,N/A,N/A,N/A,N/A,3.05,71,Not Eligible,Rejected
JPA Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM15,917",Computer Science and IT,9,3.69,N/A,N/A,N/A,N/A,68,Eligible,Rejected
JPA Scholarship,PG,42,Chinese,"RM55,666",Computer Science and IT,8,N/A,N/A,N/A,N/A,3.85,92,Not Eligible,Rejected
MARA Scholarship,PG,40,Malay,"RM102,399",Medicine and Health Care,7,N/A,N/A,N/A,N/A,3.99,71,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,24,Other,"RM156,800",Business and Finance,6,N/A,N/A,N/A,N/A,3.6,66,Not Eligible,Rejected
MARA Scholarship,UG,22,Malay,"RM33,040",Medicine and Health Care,12,N/A,N/A,3.2,N/A,N/A,58,Eligible,Rejected
JPA Scholarship,PG,41,Chinese,"RM37,468",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.73,58,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM55,650",Computer Science and IT,10,N/A,N/A,3.63,N/A,N/A,82,Eligible,Accepted
Shell Malaysia Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM73,608",Computer Science and IT,10,N/A,N/A,3.08,N/A,N/A,27,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Malay,"RM77,615",Computer Science and IT,12,N/A,3,N/A,N/A,N/A,36,Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM69,631",Engineering,11,N/A,3,N/A,N/A,N/A,60,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,28,Indian,"RM82,263",Medicine and Health Care,10,N/A,N/A,N/A,N/A,3.62,54,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,20,Indian,"RM160,142",Computer Science and IT,7,N/A,3,N/A,N/A,N/A,72,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Malay,"RM86,855",Engineering,12,N/A,4,N/A,N/A,N/A,51,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,29,Chinese,"RM47,023",Law and Social Sciences,12,3.9,N/A,N/A,N/A,N/A,53,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,26,Other,"RM81,065",Computer Science and IT,8,N/A,N/A,N/A,N/A,3.71,66,Eligible,Accepted
JPA Scholarship,PG,44,Other,"RM21,227",Medicine and Health Care,7,N/A,N/A,N/A,N/A,3.72,60,Not Eligible,Rejected
JPA Scholarship,PG,29,Malay,"RM42,873",Business and Finance,6,N/A,N/A,N/A,N/A,3.92,65,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,45,Indian,"RM53,098",Engineering,10,N/A,N/A,N/A,N/A,3.74,75,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM61,967",Computer Science and IT,5,N/A,5,N/A,N/A,N/A,74,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,23,Other,"RM53,420",Business and Finance,11,N/A,4,N/A,N/A,N/A,59,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Other,"RM61,336",Business and Finance,11,N/A,3,N/A,N/A,N/A,80,Eligible,Accepted
Gamuda Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM14,135",Business and Finance,6,N/A,2,N/A,N/A,N/A,66,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Chinese,"RM38,643",Computer Science and IT,10,N/A,N/A,4.0,N/A,N/A,60,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,29,Other,"RM39,689",Sciences,11,N/A,N/A,N/A,3.86,N/A,61,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM73,698",Computer Science and IT,7,N/A,N/A,4.0,N/A,N/A,87,Eligible,Accepted
MARA Scholarship,PG,40,Malay,"RM236,517",Law and Social Sciences,8,N/A,N/A,N/A,N/A,2.33,60,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Chinese,"RM141,728",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.77,64,Eligible,Accepted
Gamuda Scholarship,UG,20,Indian,"RM20,873",Sciences,7,N/A,N/A,3.71,N/A,N/A,41,Not Eligible,Rejected
JPA Scholarship,UG,19,Other,"RM25,850",Business and Finance,12,N/A,4,N/A,N/A,N/A,90,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,23,Malay,"RM7,971",Law and Social Sciences,4,3.89,N/A,N/A,N/A,N/A,66,Not Eligible,Rejected
MARA Scholarship,PG,24,Bumiputera Sabah / Sarawak,"RM182,374",Business and Finance,6,N/A,N/A,N/A,N/A,3.61,72,Eligible,Accepted
MARA Scholarship,UG,34,Bumiputera Sabah / Sarawak,"RM249,482",Sciences,11,N/A,N/A,N/A,4.0,N/A,57,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,28,Bumiputera Sabah / Sarawak,"RM36,344",Sciences,9,N/A,N/A,N/A,N/A,3.87,34,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM43,975",Business and Finance,5,N/A,N/A,N/A,3.74,N/A,59,Not Eligible,Rejected
